daytime,damping,is_reference,rank_spearman,rank_kendall,core_i_jaccard,top10_jaccard,top10_mean_rank_shift,top20_jaccard,top20_mean_rank_shift
0.0,0.05,False,0.997300270191229,0.9645570435230493,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.0,0.1,False,0.9970836588868471,0.9628186968838527,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.0,0.15,False,0.9967309152891569,0.9609193922225084,0.7647058823529411,1.0,0.8,0.7391304347826086,2.95
0.0,0.2,False,0.9963975412161662,0.9590200875611641,0.7647058823529411,1.0,0.8,0.7391304347826086,3.1
0.0,0.25,False,0.9958576498164532,0.9557043523049189,0.7222222222222222,1.0,0.8,0.7391304347826086,3.45
0.0,0.3,False,0.9954492529365292,0.9532577903682721,0.6842105263157895,1.0,0.8,0.7391304347826086,3.5
0.0,0.35,False,0.9948798980344571,0.9500386299253155,0.6842105263157895,1.0,1.0,0.7391304347826086,3.7
0.0,0.4,False,0.9941329436876084,0.9461756373937676,0.6842105263157895,0.8181818181818182,1.1,0.7391304347826086,4.05
0.0,0.45,False,0.9932602238353189,0.9414756631470513,0.6842105263157895,0.8181818181818182,1.1,0.7391304347826086,4.45
0.0,0.5,False,0.9920893224267451,0.936099665207314,0.6842105263157895,0.8181818181818182,1.0,0.7391304347826086,4.7
0.0,0.55,False,0.9906832586197114,0.9291140870460984,0.6842105263157895,0.8181818181818182,1.5,0.7391304347826086,5.35
0.0,0.6,False,0.9887086583412268,0.9211627607519959,0.631578947368421,0.8181818181818182,1.7,0.7391304347826086,5.5
0.0,0.65,False,0.986090498784358,0.9114408962142674,0.5789473684210527,0.6666666666666666,1.9,0.6666666666666666,5.95
0.0,0.7,False,0.9826931932762105,0.8990471285088849,0.5789473684210527,0.6666666666666666,2.3,0.6,6.75
0.0,0.75,False,0.9776486597380148,0.8829835178985321,0.5263157894736842,0.5384615384615384,2.8,0.6,7.4
0.0,0.8,False,0.9701733872551802,0.8625096574813289,0.47368421052631576,0.5384615384615384,2.9,0.6,8.3
0.0,0.85,False,0.9570823166606285,0.8310262683492146,0.42105263157894735,0.5384615384615384,4.1,0.5384615384615384,11.2
0.0,0.9,False,0.9337082109324871,0.7865052794231264,0.38095238095238093,0.5384615384615384,5.2,0.5384615384615384,13.35
0.0,0.95,False,0.8808288628834074,0.7070563996909606,0.35,0.42857142857142855,6.7,0.5384615384615384,18.0
0.0,1.0,False,0.4495575597861915,0.31501348035304505,0.16666666666666666,0.25,46.5,0.21212121212121213,87.15
0.05,0.05,False,0.9973398276712485,0.9647501931496266,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.05,0.1,False,0.997146132424257,0.9633981457635848,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.05,0.15,False,0.9968820521438518,0.9615954159155293,0.7647058823529411,1.0,0.8,0.7391304347826086,3.0
0.05,0.2,False,0.9965464955892046,0.9598892608807624,0.7647058823529411,1.0,0.8,0.7391304347826086,3.05
0.05,0.25,False,0.9961762921382645,0.9577324233839815,0.7647058823529411,1.0,0.8,0.7391304347826086,3.3
0.05,0.3,False,0.995711150735278,0.9548029873808912,0.7222222222222222,1.0,0.8,0.7391304347826086,3.45
0.05,0.35,False,0.9952874764837601,0.9520667010043781,0.6842105263157895,1.0,0.8,0.7391304347826086,3.5
0.05,0.4,False,0.9947052995019576,0.9489763069791399,0.6842105263157895,1.0,1.0,0.7391304347826086,3.75
0.05,0.45,False,0.9939861717962262,0.9451133144475921,0.6842105263157895,0.8181818181818182,1.1,0.7391304347826086,4.15
0.05,0.5,False,0.9931126335133155,0.9402845737831574,0.6842105263157895,0.8181818181818182,1.0,0.7391304347826086,4.5
0.05,0.55,False,0.9917622229885159,0.934103785732681,0.6842105263157895,0.8181818181818182,1.0,0.7391304347826086,4.75
0.05,0.6,False,0.9903929885594311,0.9276010816379088,0.6842105263157895,0.8181818181818182,1.5,0.7391304347826086,5.3
0.05,0.65,False,0.9883059904756502,0.918941540046356,0.6842105263157895,0.8181818181818182,1.7,0.7391304347826086,5.5
0.05,0.7,False,0.9855465152315395,0.9081895441668814,0.5789473684210527,0.6666666666666666,1.9,0.6666666666666666,5.95
0.05,0.75,False,0.9816199579217537,0.8948944115374711,0.5789473684210527,0.6666666666666666,2.5,0.6,6.75
0.05,0.8,False,0.9756920649331943,0.8767705382436262,0.5263157894736842,0.5384615384615384,2.8,0.6,7.5
0.05,0.85,False,0.9659175480255088,0.850888488282256,0.42105263157894735,0.5384615384615384,3.0,0.5384615384615384,8.9
0.05,0.9,False,0.9487520569889611,0.8131921194952357,0.4,0.5384615384615384,4.2,0.5384615384615384,11.3
0.05,0.95,False,0.9099352566816676,0.7473280968323461,0.4,0.42857142857142855,5.5,0.5384615384615384,13.95
0.05,1.0,False,0.5668493153861502,0.40492535512960776,0.23076923076923078,0.3333333333333333,35.2,0.21212121212121213,68.8
0.1,0.05,False,0.9973848413554084,0.9649111511717745,0.7647058823529411,1.0,0.6,0.7391304347826086,2.65
0.1,0.1,False,0.9972023313269053,0.9635912953901623,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.1,0.15,False,0.9969641680161679,0.962207056399691,0.7647058823529411,1.0,0.8,0.7391304347826086,2.9
0.1,0.2,False,0.9967145466767352,0.9607906258047901,0.7647058823529411,1.0,0.8,0.7391304347826086,2.95
0.1,0.25,False,0.9964548313596424,0.9589235127478755,0.7647058823529411,1.0,0.8,0.7391304347826086,3.1
0.1,0.3,False,0.9960297930570894,0.9565413340200876,0.7222222222222222,1.0,0.8,0.7391304347826086,3.3
0.1,0.35,False,0.995611029389298,0.9541269636878702,0.6842105263157895,1.0,0.8,0.7391304347826086,3.45
0.1,0.4,False,0.995240007507737,0.951712593355653,0.6842105263157895,1.0,0.8,0.7391304347826086,3.5
0.1,0.45,False,0.9946275485929542,0.9481715168684008,0.6842105263157895,1.0,1.0,0.7391304347826086,3.7
0.1,0.5,False,0.9938661353051328,0.9441797579191347,0.6842105263157895,0.8181818181818182,1.1,0.7391304347826086,4.15
0.1,0.55,False,0.9929437639951637,0.9391900592325523,0.6842105263157895,0.8181818181818182,1.0,0.7391304347826086,4.4
0.1,0.6,False,0.9915982640540908,0.932848313159928,0.6842105263157895,0.8181818181818182,1.0,0.7391304347826086,4.75
0.1,0.65,False,0.9902421245149435,0.9264421838784446,0.6842105263157895,0.8181818181818182,1.5,0.7391304347826086,5.25
0.1,0.7,False,0.9881919558091115,0.9176860674736029,0.631578947368421,0.6666666666666666,1.8,0.7391304347826086,5.5
0.1,0.75,False,0.9850707342304789,0.905775173834664,0.5789473684210527,0.6666666666666666,1.9,0.6666666666666666,5.9
0.1,0.8,False,0.9805729123471718,0.8902910121040433,0.5263157894736842,0.6666666666666666,2.5,0.6,6.65
0.1,0.85,False,0.9735093104667456,0.8697849600824106,0.5263157894736842,0.5384615384615384,2.8,0.6,7.6
0.1,0.9,False,0.9605494615817755,0.8376255472572753,0.4444444444444444,0.5384615384615384,3.4,0.5384615384615384,9.15
0.1,0.95,False,0.9319777757892945,0.7819018799896987,0.4,0.5384615384615384,4.6,0.5384615384615384,11.55
0.1,1.0,False,0.6637067666552534,0.4851474789904006,0.2608695652173913,0.3333333333333333,25.0,0.25,52.2
0.15,0.05,False,0.9974104855148694,0.9651686840072109,0.7647058823529411,1.0,0.6,0.7391304347826086,2.65
0.15,0.1,False,0.9972421616171318,0.9639454030388875,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.15,0.15,False,0.9971213066954173,0.962947463301571,0.7647058823529411,1.0,0.6,0.7391304347826086,2.7
0.15,0.2,False,0.996901694478758,0.9618207571465363,0.7647058823529411,1.0,0.8,0.7391304347826086,2.95
0.15,0.25,False,0.9966095147470286,0.9602433685294876,0.7647058823529411,1.0,0.8,0.7391304347826086,2.95
0.15,0.3,False,0.9964229125654199,0.9586981715168684,0.7647058823529411,1.0,0.8,0.7391304347826086,3.1
0.15,0.35,False,0.9960016936057653,0.9561550347669329,0.7222222222222222,1.0,0.8,0.7391304347826086,3.3
0.15,0.4,False,0.9955902958135638,0.9539338140612929,0.6842105263157895,1.0,0.8,0.7391304347826086,3.5
0.15,0.45,False,0.9952648332365769,0.951712593355653,0.6842105263157895,1.0,0.8,0.7391304347826086,3.5
