daytime,damping,flu_pearson,flu_pearson_p,flu_spearman,flu_spearman_p,ev_pearson,ev_pearson_p,ev_spearman,ev_spearman_p,sars_pearson,sars_pearson_p,sars_spearman,sars_spearman_p
0.0,0.05,0.38043323609807256,1.3362143139897822e-13,0.2626506473601496,5.57447831170239e-07,0.48088255395587964,7.914529064535283e-22,0.2761559011405758,1.3422301364469437e-07,0.22093633590914463,2.8122218065931197e-05,0.19493391360943357,0.00022879630741243
0.0,0.1,0.3814792017584836,1.1315499845718892e-13,0.26223635352431196,5.816239052152457e-07,0.4816546184912093,6.668522097456956e-22,0.27535604494543825,1.4635085836891009e-07,0.22204424065516276,2.5570652501874774e-05,0.19453605242584207,0.00023578258918284861
0.0,0.15,0.382571464522275,9.506033410186414e-14,0.2617332523745274,6.123369089341426e-07,0.48243821435126333,5.601830454743308e-22,0.2751664565523484,1.4937655569238758e-07,0.22321637791191914,2.3110620790225412e-05,0.19335852785321445,0.0002576450310311394
0.0,0.2,0.38371323494882065,7.917580158287993e-14,0.2609091541721196,6.660360979785654e-07,0.4832304855305129,4.694550908590944e-22,0.2748367795720736,1.547819786619103e-07,0.22445934770443027,2.0747730206793855e-05,0.19276474713622974,0.00026937387530970335
0.0,0.25,0.3849080103474353,6.533821556732076e-14,0.259905617494928,7.375424356925602e-07,0.48402744496086114,3.9282803724693787e-22,0.27450420705997713,1.6042547502621258e-07,0.22578081878129624,1.8487642800814886e-05,0.1923576520402037,0.0002777010804758547
0.0,0.3,0.3861595976895584,5.3383856295266196e-14,0.25899509700912166,8.087468198429916e-07,0.48482356636836055,3.2861688990573844e-22,0.2746172706834925,1.5848500255668833e-07,0.22718977965561693,1.633603412763747e-05,0.1914043509499533,0.00029815002178954235
0.0,0.35,0.3874721338901105,4.31495557810779e-14,0.2578467749480545,9.079814217165205e-07,0.4856112069371259,2.75298218271443e-22,0.27447607903656596,1.609117685030425e-07,0.22869686958645527,1.4298543472044177e-05,0.18999858815041173,0.00033087914738790154
0.0,0.4,0.38885010156494976,3.44738371161509e-14,0.2570498941530807,9.83597712636907e-07,0.48637977752221156,2.3151896520108357e-22,0.2736373399855365,1.760822927548918e-07,0.2303148238209803,1.2380712796233855e-05,0.18914726157139475,0.0003522963060274093
0.0,0.45,0.3902983372820924,2.71980940317623e-14,0.2559116733978654,1.1021474066341876e-06,0.48711452734719823,1.9611101064635937e-22,0.2727649576123878,1.9331863719382802e-07,0.2320590849757635,1.0587912698652926e-05,0.1888543859574391,0.0003599579573522875
0.0,0.5,0.3918220290877704,2.1167795141088084e-14,0.25572774545381427,1.122545512289131e-06,0.4877947246243708,1.6811800210227115e-22,0.2725928802926961,1.9690513346400378e-07,0.23394866228520778,8.925253720481707e-06,0.1876080085160063,0.00039433080371158153
0.0,0.55,0.393426707204812,1.6233678924159507e-14,0.2558517670423278,1.108751863475205e-06,0.4883908638128913,1.4684846814146293e-22,0.27210284600248424,2.074728886446821e-07,0.23600737598695096,7.39747857252074e-06,0.1873404257926322,0.00040209777293279364
0.0,0.6,0.3951182498009032,1.2252907458405122e-14,0.25456988327055385,1.2595065119534796e-06,0.4888602480142443,1.3198796582031683e-22,0.2715777895654762,2.1940105756934158e-07,0.23826572208750907,6.008831759041691e-06,0.18572368816768461,0.0004521353814749041
0.0,0.65,0.39690299316609884,9.09012020386798e-15,0.2542873272985332,1.2952824596318746e-06,0.4891397453497074,1.23853965645935e-22,0.27060392569609903,2.432944427032362e-07,0.24076379113501864,4.7628996084430304e-06,0.18480471314322344,0.00048309736745735457
0.0,0.7,0.3987882480203274,6.618293042790861e-15,0.2541083097114933,1.3184503205648161e-06,0.4891333711903023,1.2403384194016352e-22,0.27074635828523486,2.396499187415876e-07,0.2435560964935199,3.662410381273156e-06,0.18366432495756074,0.0005242561655513837
0.0,0.75,0.40078423356946113,4.719207600190434e-15,0.2534174926279631,1.4116294948773385e-06,0.48868975534815057,1.3720587728304475e-22,0.27075394182095847,2.3945735325676563e-07,0.24672017295037416,2.7089752215246256e-06,0.1830253783645376,0.000548716287013674
0.0,0.8,0.4029109925112458,3.2830595836227765e-15,0.25239375333906805,1.5613933071748132e-06,0.4875580117555882,1.7738158200779626e-22,0.27084466848470623,2.3716508132383086e-07,0.2503735524423647,1.9027295299444276e-06,0.18104510562178763,0.0006314121572050129
0.0,0.85,0.405224265315753,2.2058879391703428e-15,0.2525608457733663,1.535951861893551e-06,0.48529122763806865,2.958438479114967e-22,0.27261852643168866,1.9636657610869632e-07,0.2547127696465071,1.241777153081578e-06,0.1787334157175293,0.0007424912985501433
0.0,0.9,0.4079264447038397,1.380857214905469e-15,0.25618104155391297,1.072913542097105e-06,0.48099412968558003,7.721210360967196e-22,0.27734527530697073,1.1796184679848396e-07,0.2601267191786665,7.211819504406783e-07,0.17895543109041134,0.0007310869828645208
0.0,0.95,0.4119985488983836,6.762041566702567e-16,0.26426208623533787,4.722684410652162e-07,0.4723873989316653,5.0662150856153984e-21,0.28895952920888834,3.23589950213831e-08,0.2676697422495788,3.313829708003235e-07,0.18089937039510376,0.0006379327288176796
0.0,1.0,0.41350495403558357,5.17961913695002e-16,0.34542818319311897,2.4974466627359343e-11,0.4380359454244068,5.557366434527374e-18,0.3997995221676601,5.577681323215314e-15,0.25853355636543535,8.473130904698112e-07,0.21224970753364594,5.83078103499338e-05
0.05,0.05,0.4066027941968965,1.7379239972040789e-15,0.3015998797654718,7.39813000741112e-09,0.517642723685556,1.3744646503454696e-25,0.31903238482696844,8.578577784601282e-10,0.23424492537163233,8.688249534622354e-06,0.20794309106907846,8.27997475567058e-05
0.05,0.1,0.4077560318861559,1.42243659188902e-15,0.3012464743565741,7.717279764525941e-09,0.5186158811116066,1.077124006830117e-25,0.31873304198958813,8.912524374512971e-10,0.2353688328251618,7.842465818125335e-06,0.20735774131562087,8.679428007174188e-05
0.05,0.15,0.40896973942711234,1.1510901844999021e-15,0.30110842317659975,7.84553614805195e-09,0.5196240020968927,8.360538235031284e-26,0.318227840627929,9.504963892569325e-10,0.236562375565894,7.030337473460602e-06,0.20762211224336563,8.496822285528054e-05
0.05,0.2,0.4102494684056712,9.199830662776914e-16,0.30112048862525603,7.834244951835881e-09,0.5206680434307671,6.425318377759288e-26,0.3178920968190754,9.9196494810358e-10,0.23783324672283207,6.253892102191297e-06,0.20778792119273323,8.38414616278284e-05
0.05,0.25,0.4116015827366558,7.252556300493404e-16,0.30066607015784047,8.27055633229458e-09,0.5217486922681783,4.887975074723898e-26,0.3177040251331303,1.0159562398395895e-09,0.23919048257988423,5.515165993876995e-06,0.2076642670610015,8.468041509657442e-05
0.05,0.3,0.41303343863087566,5.631193807099676e-16,0.3005027657132367,8.433027138722003e-09,0.5228662186175179,3.6801243520392574e-26,0.31744770162567276,1.049563017069017e-09,0.2406448028471125,4.816185938343457e-06,0.20710160061417648,8.859865179026097e-05
0.05,0.35,0.41455362234638493,4.2988674880120675e-16,0.300008643501987,8.943666986003623e-09,0.524020260641337,2.7421312949268564e-26,0.3177204331467867,1.013840925425521e-09,0.24220906780360854,4.158947283215765e-06,0.20665576323337087,9.182376584818773e-05
0.05,0.4,0.4161722734024193,3.2200107396396394e-16,0.29992039737169857,9.037959547010656e-09,0.5252095106271304,2.0225691296037363e-26,0.31797744606658274,9.81259727978845e-10,0.24389890595335584,3.5453870990587094e-06,0.20613003243628394,9.576863361800155e-05
0.05,0.45,0.41790153747208336,2.360662016862259e-16,0.2990688011700276,9.998766651323203e-09,0.5264312511298019,1.4776212469803417e-26,0.31731478292680837,1.0674125389933045e-09,0.24573359568685552,2.977351690945913e-06,0.2050111231338929,0.00010470099793987285
0.05,0.5,0.4197562237755659,1.688750509499534e-16,0.2986866350986352,1.0461408766543294e-08,0.5276806610823958,1.0704397195203884e-26,0.31744204844449697,1.0503162414383585e-09,0.24773733628546887,2.456557692519878e-06,0.20413329924093337,0.00011225064529059401
0.05,0.55,0.4217548060810321,1.1743626876966738e-16,0.297685483451992,1.1773747856924681e-08,0.5289497663997971,7.704749013105793e-27,0.3178883739924474,9.924344680520406e-10,0.24994114101719409,1.9845449459862844e-06,0.20288190336882964,0.00012390104720301831
0.05,0.6,0.42392103260384306,7.899817958722444e-17,0.2977891621328873,1.1630776180522284e-08,0.530225831207079,5.5279395607024584e-27,0.3186012263504653,9.063549707593533e-10,0.2523857645983113,1.5626197192623739e-06,0.20258681964537884,0.0001268089847805892
0.05,0.65,0.42628669964990495,5.10690873529079e-17,0.2985255753886651,1.0662529203827351e-08,0.5314888651604783,3.974082875779978e-27,0.31871856433047935,8.928991668754162e-10,0.2551264480309472,1.1917856485037921e-06,0.2025842100614299,0.00012683498464459615
0.05,0.7,0.42889684442954035,3.143304138344794e-17,0.29967221389875687,9.308335669910181e-09,0.5327077450907283,2.8863494546398612e-27,0.3194391381066885,8.144216082337384e-10,0.2582410762079519,8.726590040113741e-07,0.20136252329889814,0.00013957187887955391
0.05,0.75,0.43182050904284974,1.8160262996426834e-17,0.30138312257740235,7.592327099102649e-09,0.5338342874365151,2.145262734971023e-27,0.32129158906026084,6.42169415299629e-10,0.2618453271610652,6.053631495401888e-07,0.20196674235167839,0.0001331295801083621
0.05,0.8,0.43517606463260505,9.611765683345595e-18,0.3023312423683237,6.777739414799503e-09,0.5347950178052752,1.664167933777953e-27,0.3238246278744089,4.627992431579405e-10,0.26612392335398205,3.893947788244588e-07,0.20170176921225313,0.00013591964774776032
0.05,0.85,0.4392014141491669,4.438729123573558e-18,0.30522905448455345,4.7789656433060044e-09,0.5354848968447109,1.3860761571329229e-27,0.3278327333280297,2.7389475280440246e-10,0.27140561758922815,2.234541252088454e-07,0.20327494685897704,0.00012012488303903807
0.05,0.9,0.44449922631460165,1.5804936079972305e-18,0.31160255758928357,2.186180956834585e-09,0.5358010516242941,1.2744838504709574e-27,0.3374217695443447,7.567071269468588e-11,0.2783903134419259,1.0525503964929002e-07,0.20646305549560706,9.325168072215482e-05
0.05,0.95,0.45329457608083523,2.7336762348652763e-19,0.32682073603865036,3.129085864043068e-10,0.5360792389464328,1.1836612999177276e-27,0.3553258079754109,6.068852356646818e-12,0.28917202961725047,3.158473179432502e-08,0.2129115381705285,5.5213643038970624e-05
0.05,1.0,0.4813316997071302,7.164216636910679e-22,0.4204038632147335,1.5016104373137568e-16,0.5417436323027476,2.587903705598981e-28,0.4930720477990255,5.0298650455833236e-23,0.3060874268356504,4.305893961672665e-09,0.2643267655548198,4.691248828299041e-07
0.1,0.05,0.4305169687798739,2.3208089265537877e-17,0.3383279472507191,6.68541203817319e-11,0.5517192688579264,1.6566749408990004e-29,0.35925187336074926,3.4151204257550426e-12,0.24616385614971995,2.8573257168148045e-06,0.2322248682389988,1.0431002354819882e-05
0.1,0.1,0.4317168544396998,1.8518635572670344e-17,0.33803795559522415,6.956070676720006e-11,0.5528205618863336,1.2161434836091397e-29,0.3593752781693423,3.353525469355717e-12,0.2472706043064442,2.5694557917976157e-06,0.2322039915674077,1.045063929344264e-05
0.1,0.15,0.4329865827490726,1.4569593869949362e-17,0.33749122241599644,7.4956725722625e-11,0.553974704896975,8.785250900881836e-30,0.358892827414854,3.6006797954177286e-12,0.24844974251202087,2.2933286782956837e-06,0.23142814218568153,1.120585496888483e-05
0.1,0.2,0.4343333810087778,1.1284546607404152e-17,0.3366790493663304,8.373222688986376e-11,0.5551857152137709,6.2369570127906976e-30,0.358655255923004,3.728832842761037e-12,0.24970968621408277,2.0297097257425835e-06,0.23077373882619193,1.188291180978747e-05
0.1,0.25,0.43576566912231,8.588821830850906e-18,0.33657116180799673,8.497070381009117e-11,0.5564580392782503,4.345124211734985e-30,0.358534608763765,3.795607476504299e-12,0.2510603859505208,1.779371196207365e-06,0.23056196105187857,1.2110223522692013e-05
0.1,0.3,0.4372933511892709,6.410134128713867e-18,0.33632606484517646,8.785089851376971e-11,0.557796615006789,2.9657069522548202e-30,0.35803533634821716,4.0845684908138776e-12,0.2525137303920344,1.5430851790220142e-06,0.2301853780143318,1.2524671046147305e-05
0.1,0.35,0.43892820635306784,4.679226617943203e-18,0.33675214353784116,8.290316028415261e-11,0.5592069477121497,1.9794672261604674e-30,0.35837301051161863,3.88687897243073e-12,0.25408409184934094,1.3216148259915633e-06,0.23023516084658746,1.2469119753944234e-05
0.1,0.4,0.4406844259144821,3.330497073834293e-18,0.336571442399826,8.496745978915553e-11,0.5606952069828275,1.2893057028733311e-30,0.3580265118702842,4.089864159712984e-12,0.25578908092906066,1.1157033727938396e-06,0.22968975780127052,1.309069463680339e-05
0.1,0.45,0.44257937103152845,2.3025917036725465e-18,0.33736158899089863,7.629473011560263e-11,0.5622683571665444,8.17560043326252e-31,0.3592026493197798,3.4399965328981478e-12,0.257650614867423,9.260605125450223e-07,0.23022432103633825,1.2481195625523558e-05
0.1,0.5,0.4446346741830638,1.538947758300396e-18,0.33761552459633926,7.369521989737843e-11,0.5639343457162928,5.033314364129274e-31,0.3587567374192324,3.6735550100911324e-12,0.2596964699540791,7.533456205088281e-07,0.229511503143839,1.3300148482589617e-05
0.1,0.55,0.4468779043314162,9.882624421445414e-19,0.3373143092676757,7.678848945927096e-11,0.5657024052728852,2.998981582588687e-31,0.35960361153585635,3.242404854424366e-12,0.26196261201327803,5.981468467444895e-07,0.228836624587212,1.4122351624335644e-05
0.1,0.6,0.44934520013470713,6.048666110730646e-19,0.3373472788076086,7.64438494106876e-11,0.5675835926064574,1.7227219083250458e-31,0.35958651410986125,3.250599436430368e-12,0.2644968278793435,4.609550666842512e-07,0.22830467093609316,1.4804212351508047e-05
0.1,0.65,0.45208567729044535,3.4898019825920424e-19,0.337920247322868,7.068950217028282e-11,0.569591866859327,9.494743506708978e-32,0.36111287302731915,2.593231731827068e-12,0.2673646526039994,3.421309969709397e-07,0.22779801017555582,1.5482626024591715e-05
0.1,0.7,0.45516934374038287,1.8682800471960324e-19,0.3399581857784648,5.3444110760078415e-11,0.5717464930064984,4.987899509103625e-32,0.3625385777433548,2.097570155378183e-12,0.27065961908397,2.4186307324694684e-07,0.22820088978981826,1.4940833455603492e-05
0.1,0.75,0.45870265050890346,9.059705306807715e-20,0.3421919773308546,3.924197250814031e-11,0.5740780023706925,2.4721371707384466e-32,0.3645984039283506,1.5410120294441767e-12,0.27452236285292897,1.601123389815989e-07,0.22971766027580093,1.3058193492251233e-05
0.1,0.8,0.46286284945764844,3.822154308389145e-20,0.3453094928493605,2.5394169694733214e-11,0.5766447927446827,1.1340616841848273e-32,0.3693121918516687,7.546251435479874e-13,0.2791800442076051,9.653849542138994e-08,0.23022913872978237,1.2475827200285652e-05
0.1,0.85,0.46798705391450895,1.2988468047749046e-20,0.35016036439284925,1.2776984706973604e-11,0.5795865727843639,4.6033251224685014e-33,0.3770240961526927,2.287807039688568e-13,0.2850404843280992,5.039849796249801e-08,0.23101181317722097,1.1632217078148854e-05
0.1,0.9,0.4748639483099609,2.9645295402768734e-21,0.3605819658176807,2.8056279732168095e-12,0.5833368055694195,1.4391684016668074e-33,0.38838050984000816,3.721885603097453e-14,0.29297426587680575,2.0408527869427856e-08,0.23478848336293795,8.26890376460212e-06
0.1,0.95,0.4861574673570703,2.4342358945352563e-22,0.38269161988851064,9.325184750393051e-14,0.5898478752104857,1.843763090581011e-34,0.41646151532966935,3.057457589320838e-16,0.3055792129187773,4.580197823658415e-09,0.244735213689953,3.274691194791099e-06
